NO,MO,SITE_ID,HQ_TOWN,BSC,physical_trx,MAX_trx,delta,Net_TRXs_Available,Total_TS_Available,BCCH,NOOFSDCCH,FPDCH,TCH_Available_For_Voice,Equipped_Erlang_Capacity_forVoice,SITESTATUS,MACRO_IBS,DATE,NEW_EXISTING,CGI,Showcase,TCC,Physical_SITE_ID,IOE,4TRX,2TS,OPCO TOWN,SitePreference,Clutter,Capacity_Area,STATE,SUB-REGION,REGION,MSC,Circle_ID,Macrosite,ATP_Status,Cell_Name,Site_Name,RBS_type,Site_Priority_Passive,Passive_partner,Super_Platinum,LAT,LONG,Site_Category,Locked_TRX,Active_900_TRX,Active_1800_TRX,Vendor,roaming_inroaming,business_Priority,Acceptance_Status,
11,10023,ZM0898,Mufulira,BASKITWE01,5,5,,5,40,1.000000000000000,3.000000000000000,3.000000000000000,33.000000000000000,24.630000000000000,Active,Macro,44569,EXISTING,645-01-21023-10023,Silver,,ZM0898,Non IOE,,,Mufulira,Silver,Freeboy Kaliba,,ZAMBIA,COPPERBELT,COPPERBELT,,ZM,Indoor,,FRANCIS3,FRANCIS,Flexi MR,Silver,TOWERCO-IHS,NO,-12.5688,28.25785,Silver,0,3.000000000000000,2.000000000000000,Nokia,Non Roaming,Silver,ACCEPTED
12,1003,ZM0006,Kitwe,BASKITWE01,3,3,,3,24,1.000000000000000,1.000000000000000,2.000000000000000,20.000000000000000,13.180000000000000,Active,Macro,44813,EXISTING,645-01-21023-1003,Silver,,ZM0006,Non IOE,,,Kalulushi,Silver,Namoonga Shikapande,,ZAMBIA,COPPERBELT,COPPERBELT,,ZM,Indoor,,CHAMBESHI3,CHAMBESHI,Flexi MR,Silver,TOWERCO-IHS,NO,-12.652499,28.049056,Silver,0,2.000000000000000,1.000000000000000,Nokia,Non Roaming,Silver,ACCEPTED
13,10034,ZM3216,ROC,BASKITWE01,3,3,,3,24,1.000000000000000,3.000000000000000,3.000000000000000,17.000000000000000,10.660000000000000,Active,Macro,44569,EXISTING,645-01-21023-10034,Silver,,ZM3216,Non IOE,,,Chingola,Silver,Namoonga Shikapande,,ZAMBIA,COPPERBELT,COPPERBELT,,ZM,Outdoor,,CHILILABOMBWRD1,CHINGOLA CHILILABOMBWE RD,Flexi MR,Silver,TOWERCO-IHS,NO,-12.441888,27.854,Silver,0,2.000000000000000,1.000000000000000,Nokia,Non Roaming,Silver,ACCEPTED
14,10035,ZM3216,ROC,BASKITWE01,3,3,,3,24,1.000000000000000,2.000000000000000,3.000000000000000,18.000000000000000,11.490000000000000,Active,Macro,44569,EXISTING,645-01-21023-10035,Silver,,ZM3216,Non IOE,,,Chingola,Silver,Namoonga Shikapande,,ZAMBIA,COPPERBELT,COPPERBELT,,ZM,Outdoor,,CHILILABOMBWRD2,CHINGOLA CHILILABOMBWE RD,Flexi MR,Silver,TOWERCO-IHS,NO,-12.441888,27.854,Silver,0,2.000000000000000,1.000000000000000,Nokia,Non Roaming,Silver,ACCEPTED
15,10036,ZM3216,ROC,BASKITWE01,3,3,,3,24,1.000000000000000,2.000000000000000,3.000000000000000,18.000000000000000,11.490000000000000,Active,Macro,44569,EXISTING,645-01-21023-10036,Silver,,ZM3216,Non IOE,,,Chingola,Silver,Namoonga Shikapande,,ZAMBIA,COPPERBELT,COPPERBELT,,ZM,Outdoor,,CHILILABOMBWRD3,CHINGOLA CHILILABOMBWE RD,Flexi MR,Silver,TOWERCO-IHS,NO,-12.441888,27.854,Silver,0,2.000000000000000,1.000000000000000,Nokia,Non Roaming,Silver,ACCEPTED
16,10041,ZM3215,Kitwe,BASKITWE01,2,2,,2,16,1.000000000000000,3.000000000000000,1.000000000000000,11.000000000000000,5.842000000000000,Active,Macro,44654,EXISTING,645-01-21022-10041,Silver,,ZM3215,Non IOE,,,Kitwe,Silver,Freeboy Kaliba,,ZAMBIA,COPPERBELT,COPPERBELT,,ZM,Indoor,,MUFULIRATURNOF1,MUFULIRA TURNOFF,Flexi MR,Silver,TOWERCO-IHS,NO,-12.7021,28.12411,Silver,0,2.000000000000000,0.000000000000000,Nokia,Non Roaming,Silver,ACCEPTED
17,10042,ZM3215,Kitwe,BASKITWE01,3,3,,3,24,1.000000000000000,6.000000000000000,1.000000000000000,16.000000000000000,9.828000000000000,Active,Macro,44654,EXISTING,645-01-21022-10042,Silver,,ZM3215,Non IOE,,,Kitwe,Silver,Freeboy Kaliba,,ZAMBIA,COPPERBELT,COPPERBELT,,ZM,Indoor,,MUFULIRATURNOF2,MUFULIRA TURNOFF,Flexi MR,Silver,TOWERCO-IHS,NO,-12.7021,28.12411,Silver,0,3.000000000000000,0.000000000000000,Nokia,Non Roaming,Silver,ACCEPTED
18,10043,ZM3215,Kitwe,BASKITWE01,2,2,,2,16,1.000000000000000,3.000000000000000,1.000000000000000,11.000000000000000,5.842000000000000,Active,Macro,44654,EXISTING,645-01-21022-10043,Silver,,ZM3215,Non IOE,,,Kitwe,Silver,Freeboy Kaliba,,ZAMBIA,COPPERBELT,COPPERBELT,,ZM,Indoor,,MUFULIRATURNOF3,MUFULIRA TURNOFF,Flexi MR,Silver,TOWERCO-IHS,NO,-12.7021,28.12411,Silver,0,2.000000000000000,0.000000000000000,Nokia,Non Roaming,Silver,ACCEPTED
19,10057,ZM3350,Chingola,BASKITWE01,4,4,,4,32,1.000000000000000,3.000000000000000,3.000000000000000,25.000000000000000,17.510000000000000,Active,Macro,44895,EXISTING,645-01-21023-10057,Silver,,ZM3350,Non IOE,,,Chingola,Silver,Namoonga Shikapande,,ZAMBIA,COPPERBELT,COPPERBELT,,ZM,Indoor,,PROTEACHINGOLAA,PROTEA CHINGOLA,Flexi MR,Silver,TOWERCO-IHS,NO,-12.538787,27.88012,Silver,0,2.000000000000000,2.000000000000000,Nokia,Non Roaming,Silver,ACCEPTED
20,10058,ZM3350,Chingola,BASKITWE01,3,3,,3,24,1.000000000000000,3.000000000000000,2.000000000000000,18.000000000000000,11.490000000000000,Active,Macro,44895,EXISTING,645-01-21023-10058,Silver,,ZM3350,Non IOE,,,Chingola,Silver,Namoonga Shikapande,,ZAMBIA,COPPERBELT,COPPERBELT,,ZM,Indoor,,PROTEACHINGOLAB,PROTEA CHINGOLA,Flexi MR,Silver,TOWERCO-IHS,NO,-12.538787,27.88012,Silver,0,2.000000000000000,1.000000000000000,Nokia,Non Roaming,Silver,ACCEPTED
